Process_ID,Interval,Layer,Sv_mean,NASC,Layer_depth_min,Layer_depth_max,Ping_S,Dist_S,Date_S,Time_S,Lat_M,Lon_M,Frequency
3966,2497996,44,-999.000000,0.000000,215.000000,220.000000,309,1.259774,20170630,04:30:03.4120,81.53749814,33.53902917,200.000000
3966,2497997,5,-85.375679,0.629427,20.000000,25.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,6,-80.542467,1.844489,25.000000,30.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,7,-79.766432,2.290182,30.000000,35.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,8,-81.521983,1.528674,35.000000,40.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,9,-83.202466,1.038166,40.000000,45.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,10,-80.747515,1.827097,45.000000,50.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,11,-83.087063,1.026636,50.000000,55.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,12,-90.066596,0.213724,55.000000,60.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,13,-92.454289,0.123334,60.000000,65.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,14,-93.463051,0.097771,65.000000,70.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,15,-94.474771,0.077453,70.000000,75.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,16,-95.000425,0.066082,75.000000,80.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,17,-99.369329,0.025095,80.000000,85.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,18,-106.465060,0.004898,85.000000,90.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,19,-119.529453,0.000242,90.000000,95.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,20,-999.000000,0.000000,95.000000,100.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,21,-999.000000,0.000000,100.000000,105.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,22,-999.000000,0.000000,105.000000,110.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,23,-999.000000,0.000000,110.000000,115.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,24,-999.000000,0.000000,115.000000,120.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,25,-999.000000,0.000000,120.000000,125.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,26,-999.000000,0.000000,125.000000,130.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,27,-999.000000,0.000000,130.000000,135.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,28,-999.000000,0.000000,135.000000,140.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,29,-999.000000,0.000000,140.000000,145.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,30,-999.000000,0.000000,145.000000,150.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,31,-999.000000,0.000000,150.000000,155.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,32,-999.000000,0.000000,155.000000,160.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,33,-999.000000,0.000000,160.000000,165.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,34,-999.000000,0.000000,165.000000,170.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,35,-999.000000,0.000000,170.000000,175.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,36,-999.000000,0.000000,175.000000,180.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,37,-999.000000,0.000000,180.000000,185.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,38,-999.000000,0.000000,185.000000,190.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,39,-999.000000,0.000000,190.000000,195.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,40,-999.000000,0.000000,195.000000,200.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,41,-999.000000,0.000000,200.000000,205.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,42,-999.000000,0.000000,205.000000,210.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,43,-999.000000,0.000000,210.000000,215.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
3966,2497997,44,-999.000000,0.000000,215.000000,220.000000,459,2.286723,20170630,04:40:03.8190,81.55559766,33.48607396,200.000000
